"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
198,"5423 Big Bass Dr",35.79559,-78.54367,27610,111596761,"Raleigh","WAKE","NC","US"
199,"2702 Benevolence Dr",35.743355,-78.59349,27610,124425225,"Raleigh","WAKE","NC","US"
200,"751 Maypearl Ln",35.73958,-78.62792,27610,215491202,"Raleigh","WAKE","NC","US"
201,"1315 E Lane St",35.783424,-78.62066,27610,65344727,"Raleigh","WAKE","NC","US"
202,"2631 Poole Rd",35.7728,-78.598076,27610,6413836,"Raleigh","WAKE","NC","US"
203,"5012 Grasshopper Rd",35.748993,-78.49403,27610,50110344,"Raleigh","WAKE","NC","US"
204,"3208 Slippery Elm Dr",35.740963,-78.59913,27610,60396932,"Raleigh","WAKE","NC","US"
205,"2508 Landale Ct",35.751923,-78.56502,27610,65332298,"Raleigh","WAKE","NC","US"
206,"2447 Quarry Ridge Ln",35.739403,-78.5853,27610,69565636,"Raleigh","WAKE","NC","US"
207,"3982 Cane Garden Dr",35.726624,-78.54778,27610,69566658,"Raleigh","WAKE","NC","US"
208,"405 E Bragg St",35.726624,-78.54778,27610,2061618347,"Raleigh","WAKE","NC","US"
209,"2713 Daytona Dr",35.74212,-78.61744,27610,6405602,"Raleigh","WAKE","NC","US"
210,"829 Cumberland St",35.768387,-78.621155,27610,6425745,"Raleigh","WAKE","NC","US"
211,"1210 Canyon Rock Ct UNIT 100",35.76145,-78.55702,27610,65342618,"Raleigh","WAKE","NC","US"
212,"1424 Springshire Ct",35.75705,-78.58424,27610,67555868,"Raleigh","WAKE","NC","US"
213,"3931 Volkswalk Pl",35.727352,-78.55534,27610,81437053,"Raleigh","WAKE","NC","US"
214,"829 Cumberland St #100 & 101",35.727352,-78.55534,27610,2060702538,"Raleigh","WAKE","NC","US"
215,"333 Sustainable Way",35.727352,-78.55534,27610,2061300338,"Raleigh","WAKE","NC","US"
216,"829 Cumberland St #100",35.727352,-78.55534,27610,2061709147,"Raleigh","WAKE","NC","US"
217,"829 Cumberland St #101",35.727352,-78.55534,27610,2062291868,"Raleigh","WAKE","NC","US"
218,"2616 Elmhurst Cir",35.767883,-78.60134,27610,6435762,"Raleigh","WAKE","NC","US"
219,"5904 Dowse Cir",35.735023,-78.54083,27610,65345043,"Raleigh","WAKE","NC","US"
220,"2142 Groundwater Pl",35.80067,-78.550964,27610,67557780,"Raleigh","WAKE","NC","US"
221,"6036 Namozine Ct",35.732937,-78.53623,27610,71845119,"Raleigh","WAKE","NC","US"
222,"5422 Landreaux Dr",35.727406,-78.56451,27610,81435469,"Raleigh","WAKE","NC","US"
223,"1661 Brown Owl Dr",35.752316,-78.56622,27610,71205671,"Raleigh","WAKE","NC","US"
224,"3852 Griffis Glen Dr",35.726425,-78.53789,27610,89494536,"Raleigh","WAKE","NC","US"
225,"3213 Warm Springs Ln",35.750065,-78.5927,27610,125165765,"Raleigh","WAKE","NC","US"
226,"1601 Oxleymare Dr",35.7525,-78.56375,27610,132258946,"Raleigh","WAKE","NC","US"
227,"148 Magenta Rose Dr",35.69966,-78.54239,27610,305127723,"Raleigh","WAKE","NC","US"
228,"161 Sea Foam Dr",35.698803,-78.54782,27610,331654744,"Raleigh","WAKE","NC","US"
229,"413 Diversity Way",35.698803,-78.54782,27610,2058090288,"Raleigh","WAKE","NC","US"
230,"2471 Tonoloway Dr #335",35.698803,-78.54782,27610,2059384452,"Raleigh","WAKE","NC","US"
231,"2063 Caen St #68",35.698803,-78.54782,27610,2059401307,"Raleigh","WAKE","NC","US"
232,"2701 Chert Ln #352",35.698803,-78.54782,27610,2059534111,"Raleigh","WAKE","NC","US"
233,"438 Sustainable Way",35.697174,-78.47614,27610,2059547967,"Raleigh","WAKE","NC","US"
234,"401 Inclusion Way",35.697174,-78.47614,27610,2059932829,"Raleigh","WAKE","NC","US"
235,"325 Inclusion Way",35.697174,-78.47614,27610,2060011923,"Raleigh","WAKE","NC","US"
236,"2705 Chert Ln #350",35.697174,-78.47614,27610,2061051393,"Raleigh","WAKE","NC","US"
237,"329 Sustainable Way",35.697174,-78.47614,27610,2061300344,"Raleigh","WAKE","NC","US"
238,"419 Sustainable Way",35.697174,-78.47614,27610,2065427631,"Raleigh","WAKE","NC","US"
239,"809 Belmont Dr",35.765984,-78.60324,27610,6423264,"Raleigh","WAKE","NC","US"
240,"2209 Sanderford Rd",35.749035,-78.6124,27610,6424777,"Raleigh","WAKE","NC","US"
241,"5905 Damon Ct",35.745995,-78.536865,27610,6489595,"Raleigh","WAKE","NC","US"
242,"5513 Revine Dr",35.756237,-78.51324,27610,338501303,"Raleigh","WAKE","NC","US"
243,"2055 Caen St #65",35.756237,-78.51324,27610,2059391901,"Raleigh","WAKE","NC","US"
244,"410 Sustainable Way",35.756237,-78.51324,27610,2059824277,"Raleigh","WAKE","NC","US"
245,"4512 Queen Pierrette St",35.756237,-78.51324,27610,2064084715,"Raleigh","WAKE","NC","US"
246,"4516 Queen Pierrette St #16",35.756237,-78.51324,27610,2066810864,"Raleigh","WAKE","NC","US"
247,"1718 Fox Hollow Dr",35.738834,-78.608986,27610,6526473,"Raleigh","WAKE","NC","US"
248,"1505 Clover Ridge Ct",35.756462,-78.5855,27610,50120219,"Raleigh","WAKE","NC","US"
249,"3317 Perkins Ridge Rd",35.735905,-78.5431,27610,65332841,"Raleigh","WAKE","NC","US"
250,"3902 Evans Dr",35.7594,-78.57226,27610,132261570,"Raleigh","WAKE","NC","US"
251,"4506 Queen Pierrette St #17",35.7594,-78.57226,27610,2061455442,"Raleigh","WAKE","NC","US"
252,"3733 Hillcrest Dr",35.7962,-78.57772,27610,6432894,"Raleigh","WAKE","NC","US"
253,"3120 Riverbrooke Dr",35.73972,-78.57907,27610,50109489,"Raleigh","WAKE","NC","US"
254,"3974 Volkswalk Pl",35.72692,-78.55468,27610,132277272,"Raleigh","WAKE","NC","US"
255,"3705 Putnam Rd",35.730343,-78.54158,27610,338498401,"Raleigh","WAKE","NC","US"
256,"1609 Eva Mae Dr",35.75742,-78.55722,27610,53459788,"Raleigh","WAKE","NC","US"
257,"310 Gilman Ln UNIT 100",35.77483,-78.54613,27610,81437026,"Raleigh","WAKE","NC","US"
258,"5509 Revine Dr",35.756237,-78.51324,27610,338501302,"Raleigh","WAKE","NC","US"
259,"5509 Revine Dr #1247",35.756237,-78.51324,27610,2059426237,"Raleigh","WAKE","NC","US"
260,"4504 Queen Pierrette St #21",35.756237,-78.51324,27610,2060828023,"Raleigh","WAKE","NC","US"
261,"4508 Queen Pierrette St #19",35.756237,-78.51324,27610,2060882297,"Raleigh","WAKE","NC","US"
262,"4518 Queen Pierrette St #15",35.756237,-78.51324,27610,2060882302,"Raleigh","WAKE","NC","US"
